                      A	      TK_WITH      TK_THEN      TK_TYPE        TK_EQ    TK_DOLLAR     TK_COMMA      TK_RNUM        TK_CL       TK_AND TK_PARAMETER       TK_DIV        TK_ID    TK_GLOBAL        TK_GE      TK_LIST        TK_IF    TK_RECORD       TK_NUM        TK_NE        TK_LE       TK_DOT     TK_INPUT      TK_MAIN      TK_CALL      TK_PLUS      TK_ELSE   TK_COMMENT  TK_ASSIGNOP     TK_WRITE     TK_COLON     TK_WHILE      TK_REAL      TK_READ       TK_NOT       TK_SQL    TK_OUTPUT       TK_SQR     TK_ENDIF     TK_MINUS       TK_SEM   TK_FIELDIDTK_PARAMETERS        TK_OP  TK_ENDWHILE       TK_MUL     TK_FUNID       TK_INT    TK_RETURN        TK_GT       TK_END        TK_LT        TK_OR TK_ENDRECORD          eps  TK_RECORDID
           mainFunction	           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            2           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1
            funCallStmt	           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1            0           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           41           -1            0           -1           -1            0           -1            0           -1            0           -1           41           -1           -1            0           -1           -1           -1           -1           -1            0           -1           -1           -1            0           -1           -1           -1           -1           -1           41           -1
         parameter_list	           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            9           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            9           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1            9           -1           -1           -1           -1           -1           -1           -1           -1
        fieldDefinition	           -1           -1           22           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            0           -1           -1
         typeDefinition	           -1           -1            0           -1            0           -1           -1           -1           -1           -1           -1            0           -1           -1           -1            0           20           -1           -1           -1           -1           -1           -1            0           -1           -1           -1           -1            0           -1            0           -1            0           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1
               expPrime	           -1           -1           -1           -1           58           -1           -1           58           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           57           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           57           58           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           58           -1
       outputParameters	           -1           -1           -1           -1           43           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           43           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           42           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           43           -1
              termPrime	           -1           -1           -1           -1           61           -1           -1           61           -1           -1           60           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           61           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           61           61           -1           -1           -1           -1           60           -1           -1           -1           -1           -1           -1           -1           -1           61           -1
 lowPrecedenceOperators	           -1           -1           -1           -1            0           -1            0           -1           -1           -1           -1            0           -1           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           65           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           64           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1
         optionalReturn	           -1           -1           -1           -1           91           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           90           -1           -1           -1           -1           91           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           91           -1
               elsePart	           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1            0           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1            0           -1           47           -1           -1            0           -1            0           -1            0           -1            0           -1           -1           48           -1           -1           -1           -1           -1            0           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1
             moreFields	           -1           -1           23           -1           24           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           24           24           -1
        conditionalStmt	           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1            0           -1           -1           -1           46           -1           -1           -1           -1           -1           -1           -1            0           -1            0           -1           -1            0           -1            0           -1            0           -1            0           -1           -1            0           -1           -1           -1           -1           -1            0           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1
             otherStmts	           -1           -1           -1           -1           31           -1           -1           -1           -1           -1           -1           30           -1           -1           -1           30           -1           -1           -1           -1           -1           -1           -1           30           -1           31           -1           -1           30           -1           30           -1           30           -1           30           -1           -1           31           -1           -1           -1           -1           -1           31           -1           -1           -1           31           -1           -1           -1           -1           -1           31           -1
                 ioStmt	           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1            0           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1            0           -1            0           -1           -1           50           -1            0           -1           49           -1            0           -1           -1            0           -1           -1           -1           -1           -1            0           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1
        inputParameters	           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           44           -1           -1           -1           -1            0           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1           -1
